Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7023253,SG,Baylor Scheierman,Boston Celtics,Charlotte Hornets,8010,11.68,23.25,EXPECTED STARTER
7023253,SF,Baylor Scheierman,Boston Celtics,Charlotte Hornets,8010,11.68,23.25,EXPECTED STARTER
7023259,SF,Dillon Jones,New York Knicks,Oklahoma City Thunder,6000,5,7.17,
7023264,C,Zach Edey,Memphis Grizzlies,Portland Trail Blazers,15300,33.77,31.92,OUT
7023266,C,Donovan Clingan,Portland Trail Blazers,Memphis Grizzlies,13400,33.28,39.42,EXPECTED STARTER
7023267,PG,Isaiah Collier,Utah Jazz,Philadelphia 76ers,12050,27.01,27.83,
7023268,SG,Cody Williams,Utah Jazz,Philadelphia 76ers,6000,12.09,10.67,EXPECTED STARTER
7023268,SF,Cody Williams,Utah Jazz,Philadelphia 76ers,6000,12.09,10.67,EXPECTED STARTER
7023270,SG,Pacome Dadiet,New York Knicks,Oklahoma City Thunder,6000,2.53,4.75,
7023271,SF,Zaccharie Risacher,Atlanta Hawks,Milwaukee Bucks,7440,19.57,21.92,
7023271,PF,Zaccharie Risacher,Atlanta Hawks,Milwaukee Bucks,7440,19.57,21.92,
7023272,PG,Nikola Topic,Oklahoma City Thunder,New York Knicks,6000,7.3,6.17,
7023274,PF,Tidjane Salaun,Charlotte Hornets,Boston Celtics,6000,13.94,8.17,OUT
7023281,SF,Blake Hinson,Utah Jazz,Philadelphia 76ers,6000,13.75,13.42,
7023286,SF,Justin Edwards,Philadelphia 76ers,Utah Jazz,6000,9.91,8.92,
7023287,C,Adem Bona,Philadelphia 76ers,Utah Jazz,6940,13.13,12.58,
7023292,SF,Kevin McCullar,New York Knicks,Oklahoma City Thunder,6000,5.67,2.42,
7023293,PG,Tyler Kolek,New York Knicks,Oklahoma City Thunder,6000,11.68,1.33,
7023294,C,Ariel Hukporti,New York Knicks,Oklahoma City Thunder,6000,7.41,3.75,
7023296,SG,Antonio Reeves,Charlotte Hornets,Boston Celtics,6000,4.72,1,
7023296,PG,Antonio Reeves,Charlotte Hornets,Boston Celtics,6000,4.72,1,
7023297,SG,Johnny Furphy,Indiana Pacers,LA Clippers,6000,13.86,20.25,OUT
7023297,SF,Johnny Furphy,Indiana Pacers,LA Clippers,6000,13.86,20.25,OUT
7023300,SG,Cam Christie,LA Clippers,Indiana Pacers,6000,6.54,2.08,
7023305,C,PJ Hall,Charlotte Hornets,Boston Celtics,6000,11.36,9.58,
7023306,SG,Ajay Mitchell,Oklahoma City Thunder,New York Knicks,10340,27.22,24.42,OUT
7023309,C,Branden Carlson,Oklahoma City Thunder,New York Knicks,6000,10.57,9.92,OUT
7023317,PG,Cam Spencer,Memphis Grizzlies,Portland Trail Blazers,9420,24.8,26.92,
7023318,SG,Jaylen Wells,Memphis Grizzlies,Portland Trail Blazers,9480,21.08,26,EXPECTED STARTER
7023318,SF,Jaylen Wells,Memphis Grizzlies,Portland Trail Blazers,9480,21.08,26,EXPECTED STARTER
7023322,C,Kyle Filipowski,Utah Jazz,Philadelphia 76ers,14130,24.2,29.17,EXPECTED STARTER
7023322,PF,Kyle Filipowski,Utah Jazz,Philadelphia 76ers,14130,24.2,29.17,EXPECTED STARTER
7023910,SG,Cormac Ryan,Milwaukee Bucks,Atlanta Hawks,6000,0,0,
7023914,PG,RayJ Dennis,Atlanta Hawks,Milwaukee Bucks,6000,10.07,4.67,
7023928,SG,Elijah Harkless,Utah Jazz,Philadelphia 76ers,8120,10.54,23.83,EXPECTED STARTER
7023953,SG,VJ Edgecombe,Philadelphia 76ers,Utah Jazz,15060,31.78,33.25,OUT
